id,name,value,category,description
1,item1,10,CategoryA,"This is item 1 in Category A"
2,item2,20,CategoryA,"This is item 2 in Category A"
3,item3,30,CategoryB,"This is item 3 in Category B"
4,item4,40,CategoryB,"This is item 4 in Category B"
5,item5,50,CategoryA,"This is item 5 in Category A"
6,item6,25,CategoryC,"This is item 6 in Category C"
7,item7,60,CategoryC,"This is item 7 in Category C"
8,item8,35,CategoryD,"This is item 8 in Category D"
9,item9,80,CategoryD,"This is item 9 in Category D"
10,item10,55,CategoryA,"This is item 10 in Category A"
11,item11,45,CategoryB,"This is item 11 in Category B"
12,item12,75,CategoryC,"This is item 12 in Category C"
13,item13,65,CategoryD,"This is item 13 in Category D"
14,item14,15,CategoryA,"This is item 14 in Category A"
15,item15,95,CategoryB,"This is item 15 in Category B"
16,item16,85,CategoryC,"This is item 16 in Category C"
17,item17,70,CategoryD,"This is item 17 in Category D"
18,item18,90,CategoryA,"This is item 18 in Category A"
19,item19,100,CategoryB,"This is item 19 in Category B"
20,item20,110,CategoryC,"This is item 20 in Category C"
